#username,balance,role
Sven,0,admin
Leo,0,admin
Melvin,0,lid
Milan,0,lid
Aisley,0,admin
DennisW,0,lid
Chris,0,lid
Nick,0,lid
lars,0,lid
RobinW,0,lid
Fleur,0,lid
Tess,0,extern
Lucal,0,lid
Joris,0,lid
Stam,0,lid
Sander,0,lid
Duco,0,stam
TimV,0,lid
Syb,0,lid
Stjoris,0,lid
Sabine,0,lid
Femke,0,lid
Sofie,0,stam
AnoukDL,0,lid
Alicia,0,admin
Bestuur,0,lid
Tristaan,0,lid
Rik,0,lid
Joep,0,lid
RobinM,0,lid
Cas,0,lid
Barrie,0,lid
Max,0,lid
Sebas,0,lid
Michiel,0,lid
Bram,0,lid
Pim,0,lid
Wouter,0,lid
Kenneth,0,lid
Theo,0,lid
Joooost,0,lid
Martin,0,lid
RobinO,0,admin
Luuk,0,lid
Niels,0,lid
Jessica,0,lid
Kim,0,lid
Ruben,0,lid
Julia,0,lid
Rick,0,lid
Timon,0,lid
Roy,0,lid
Vrijwilligers,0,lid
JeroenD,0,lid
Ashley,0,stam
WimG,0,lid
Scouts,0,lid
Geert,0,lid
Rob,0,lid
NielsN,0,lid
Yvonne,0,extern
Explorers,0,lid
Julian,0,lid
Martina,0,lid
Alex,0,lid
Casper,0,lid
Erik,0,lid
Ilse,0,lid
Nieky,0,lid
Maaike,0,lid
Thijs,0,lid
Remko,0,lid
Regio,0,lid
TomK,0,lid
DennisM,0,stam
Ralph,0,stam
Anouk,0,lid
Martijn,0,lid
hann,0,lid
BramZ,0,extern
Kjeld,0,extern
Lisette,0,lid
Stefanie,0,lid
JasperB,0,lid
BramM,0,lid
PelleEmma,0,lid
Lieke,0,lid
Zweitze,0,lid
Jim,0,extern
Joel,0,extern
Bente,0,extern
Benno,0,lid
Gonnie,0,lid
Moniek,0,lid
Jasper,0,lid
BartT,0,lid
Shelly,0,extern
Tara,0,extern
Sem,0,extern
Sydney,0,extern
RickDL,0,lid
MauriceH,0,lid
Kilian,0,extern
Laura,0,extern
Joost,0,lid
Jack,0,lid